brand,name,url,image,price_original,price_sale,saving_amount,saving_pct
Domyos,"Short de sport respirant avec poches zippées homme, 120",https://www.decathlon.ca/fr/p/8912886/short-de-sport-avec-poches-zippees-homme,https://contents.mediadecathlon.com/p2826703/k$8a0db92fc9781bcda718d94fc55cd873/short-de-sport-avec-poches-zippees-homme.jpg?format=auto&f=3840x0,18.0,10.0,8.0,44.44
Domyos,"Short de sport respirant avec poches zippées homme, 120",https://www.decathlon.ca/fr/p/8912885/short-de-sport-avec-poches-zippees-homme,https://contents.mediadecathlon.com/p2826716/k$7788f47095f323262f12084d1cfd8213/short-de-sport-avec-poches-zippees-homme.jpg?format=auto&f=3840x0,18.0,10.0,8.0,44.44
Domyos,"Short de sport respirant avec poches zippées homme, 120",https://www.decathlon.ca/fr/p/8912890/short-de-sport-avec-poches-zippees-homme,https://contents.mediadecathlon.com/p2826713/k$90a81be0c6c34044ff3a85c4825df4bd/short-de-sport-avec-poches-zippees-homme.jpg?format=auto&f=3840x0,18.0,10.0,8.0,44.44
Olaian,Bas de maillot de bain de surf à taille haute femme – Rosa,https://www.decathlon.ca/fr/p/8919735/bas-de-maillot-de-bain-de-surf-a-taille-haute-femme-rosa,https://contents.mediadecathlon.com/p2805812/k$1e0f63cf9db57576d1e4bba53b628837/bas-de-maillot-de-bain-de-surf-a-taille-haute-femme-rosa.jpg?format=auto&f=3840x0,25.0,14.0,11.0,44.0
Olaian,Planche de surf en mousse 7' enfant - SURF 100 bleu,https://www.decathlon.ca/fr/p/8385418/planche-de-surf-en-mousse-7-enfant-surf-100-bleu,https://contents.mediadecathlon.com/p1313419/k$be6c6d0b4d300f90127588ef389f4ed5/planche-de-surf-en-mousse-7-enfant-surf-100-bleu.jpg?format=auto&f=3840x0,230.0,130.0,100.0,43.48
Domyos,Legging à taille haute sans coutures femme - FTI 900 Muscle,https://www.decathlon.ca/fr/p/8872136/legging-a-taille-haute-sans-coutures-femme-fti-900-muscle,https://contents.mediadecathlon.com/p2731505/k$d984f23e9f06200c11ad85afcf356d84/legging-a-taille-haute-sans-coutures-femme-fti-900-muscle.jpg?format=auto&f=3840x0,35.0,20.0,15.0,42.86
Van Rysel,"Gants de vélo chauds, 500",https://www.decathlon.ca/fr/p/8530326/gants-de-velo500-hommes,https://contents.mediadecathlon.com/p2578969/k$0faa1729a8488672af85ab840425717c/gants-de-velo500-hommes.jpg?format=auto&f=3840x0,35.0,20.0,15.0,42.86
Decathlon,Chaussures de sport enfant – Playful Fast,https://www.decathlon.ca/fr/p/8807333/chaussures-de-sport-enfant-playful-fast,https://contents.mediadecathlon.com/p2712290/k$901233f2af727f356f4df4b3f1a73e29/chaussures-de-sport-enfant-playful-fast.jpg?format=auto&f=3840x0,35.0,20.0,15.0,42.86
Domyos,Legging à taille haute femme – FTI 120,https://www.decathlon.ca/fr/p/8927988/legging-a-taille-haute-femme-fti-120,https://contents.mediadecathlon.com/p2833475/k$b0959f59e0ae29bbbf1f72e575827cea/legging-a-taille-haute-femme-fti-120.jpg?format=auto&f=3840x0,35.0,20.0,15.0,42.86
Solognac,Veste en polaire de chasse homme – 500,https://www.decathlon.ca/fr/p/8644256/polaire-de-chasse-recyclee-500-marron,https://contents.mediadecathlon.com/p2490782/k$c5f31322fa379408ab903b2c265defc1/polaire-de-chasse-recyclee-500-marron.jpg?format=auto&f=3840x0,35.0,20.0,15.0,42.86
Domyos,Short double enfant – W 500,https://www.decathlon.ca/fr/p/8912983/short-double-enfant-w500,https://contents.mediadecathlon.com/p2795663/k$d7fcacadd8eb56e93bc6970df491da9a/short-double-enfant-w500.jpg?format=auto&f=3840x0,14.0,8.0,6.0,42.86
Decathlon,Short de sport respirant enfant – W 500,https://www.decathlon.ca/fr/p/8912934/short-de-sport-respirant-enfant-w500,https://contents.mediadecathlon.com/p2807410/k$0f9f74e67107212119bceeb3b7a1decd/short-de-sport-respirant-enfant-w500.jpg?format=auto&f=3840x0,14.0,8.0,6.0,42.86
Domyos,Short de sport léger femme,https://www.decathlon.ca/fr/p/8912839/short-de-sport-leger-femme,https://contents.mediadecathlon.com/p2828356/k$6ba960e2a9ca297b309e68f91ca23b6a/short-de-sport-leger-femme.jpg?format=auto&f=3840x0,14.0,8.0,6.0,42.86
Kiprun,Chaussures de course avec plaque de carbone femme – KD 900X LD,https://www.decathlon.ca/fr/p/8801428/chaussures-de-course-femme-kd900xld,https://contents.mediadecathlon.com/p2600009/k$378cc4f20cc65b219b671165aad73e63/chaussures-de-course-femme-kd900xld.jpg?format=auto&f=3840x0,240.0,140.0,100.0,41.67
Nabaiji,Short De Bain Imprimé Fleurs - Bébés/Enfants,https://www.decathlon.ca/fr/p/8647842/short-de-bain-imprime-fleurs-bebes-enfants,https://contents.mediadecathlon.com/p2231487/k$6e259df2a2a0dbe29949663c1eef6b9a/short-de-bain-imprime-fleurs-bebes-enfants.jpg?format=auto&f=3840x0,12.0,7.0,5.0,41.67
Domyos,Legging taille haute enfant – S 500,https://www.decathlon.ca/fr/p/8881405/legging-taille-haute-enfant-s500,https://contents.mediadecathlon.com/p2623844/k$fbe3c6cdcf78b518d0e70c5af71423e9/legging-taille-haute-enfant-s500.jpg?format=auto&f=3840x0,17.14,10.0,7.140000000000001,41.66
Kalenji,Chaussures de course sur route Confort – Femmes,https://www.decathlon.ca/fr/p/8569188/chaussures-de-course-sur-route-confort-femmes,https://contents.mediadecathlon.com/p2175413/k$7df3922caed038564c98081f76a983dc/chaussures-de-course-sur-route-confort-femmes.jpg?format=auto&f=3840x0,85.0,50.0,35.0,41.18
Oxelo,Trottinette R 100,https://www.decathlon.ca/fr/p/8575719/trottinette-r-100,https://contents.mediadecathlon.com/p2669927/k$b03b4f83f015f18b3e75f1470b6048ca/trottinette-r-100.jpg?format=auto&f=3840x0,100.0,60.0,40.0,40.0
Fouganza,Sangle d'équitation en cuir pour cheval et poney - Romeo marron,https://www.decathlon.ca/fr/p/8139663/sangle-d-equitation-en-cuir-pour-cheval-et-poney-romeo-marron,https://contents.mediadecathlon.com/p836955/k$4fdde9decc0a7311e4cead1568c35043/sangle-d-equitation-en-cuir-pour-cheval-et-poney-romeo-marron.jpg?format=auto&f=3840x0,75.0,45.0,30.0,40.0
Fouganza,Pantalon d’équitation 500 – Hommes,https://www.decathlon.ca/fr/p/8562335/pantalon-dequitation500-hommes,https://contents.mediadecathlon.com/p2273637/k$f2debe0d54445d2e4868ad17801a9078/pantalon-dequitation500-hommes.jpg?format=auto&f=3840x0,55.0,33.0,22.0,40.0
Rockrider,Maillot de vélo de montagne respirant à manches longues,https://www.decathlon.ca/fr/p/8677531/chandail-de-velo-de-montagne-respirant-a-manches-longues,https://contents.mediadecathlon.com/p2723307/k$43bb9b40eb593bdf443f1c0638c34dc5/chandail-de-velo-de-montagne-respirant-a-manches-longues.jpg?format=auto&f=3840x0,50.0,30.0,20.0,40.0
Kiprun,Pantalon de course chaud femme Run 500,https://www.decathlon.ca/fr/p/8882252/pantalon-de-course-chaud-femme-run-500,https://contents.mediadecathlon.com/p2711103/k$392b9c62ce11fe4ce1bce731cfeada31/pantalon-de-course-chaud-femme-run-500.jpg?format=auto&f=3840x0,50.0,30.0,20.0,40.0
Quechua,Veste de randonnée en polaire à capuchon homme – NH 100,https://www.decathlon.ca/fr/p/8522502/chandail-de-randonnee-en-nature-nh100-hybride-hommes,https://contents.mediadecathlon.com/p2718238/k$6a2362a6fcd0de345bd0976fc2f5698a/chandail-de-randonnee-en-nature-nh100-hybride-hommes.jpg?format=auto&f=3840x0,40.0,24.0,16.0,40.0
Fouganza,Pantalon d'équitation basanes enfant - 140 marron,https://www.decathlon.ca/fr/p/8831368/pantalon-d-equitation-basanes-enfant-140marron,https://contents.mediadecathlon.com/p2267506/k$062a2b72a0b76a01a917047955301ce0/pantalon-d-equitation-basanes-enfant-140marron.jpg?format=auto&f=3840x0,30.0,18.0,12.0,40.0
Fouganza,Pantalon d'équitation enfant,https://www.decathlon.ca/fr/p/8874200/pantalon-d-equitation-enfant,https://contents.mediadecathlon.com/p2915752/k$b3af2fdfb2c788b3cffe2ee46e742c33/pantalon-d-equitation-enfant.jpg?format=auto&f=3840x0,30.0,18.0,12.0,40.0
Fouganza,Pantalon d'équitation basanes enfant - 140 bleu,https://www.decathlon.ca/fr/p/8831367/pantalon-d-equitation-basanes-enfant-140bleu,https://contents.mediadecathlon.com/p2267499/k$5af4b275a83ffd143cbec78ba575dead/pantalon-d-equitation-basanes-enfant-140bleu.jpg?format=auto&f=3840x0,30.0,18.0,12.0,40.0
Van Rysel,Cuissard de vélo de route femme – Discover,https://www.decathlon.ca/fr/p/8667970/cuissard-de-velo-pour-femmes-rc500-bleu-marine-et-lavande,https://contents.mediadecathlon.com/p2705018/k$200acfffeee6cce47e1f5b23db19e097/cuissard-de-velo-pour-femmes-rc500-bleu-marine-et-lavande.jpg?format=auto&f=3840x0,30.0,18.0,12.0,40.0
Quechua,Couverture – 170 x 140 cm,https://www.decathlon.ca/fr/p/8789851/couverture-de-pique-nique-500-bleu,https://contents.mediadecathlon.com/p2606892/k$57f4e46c22980d491c3934acc18523d3/couverture-de-pique-nique-500-bleu.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Wedze,"Couche de base de ski chaude et respirante femme, BL 500 Haut",https://www.decathlon.ca/fr/p/8872365/couche-de-base-de-ski-chaude-et-respirante-haut-femme-bl-500,https://contents.mediadecathlon.com/p2708331/k$3634ed1eb007806cc344edd580111214/couche-de-base-de-ski-chaude-et-respirante-haut-femme-bl-500.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Quechua,Sac de couchage ajustable enfant – MH 100 20°C,https://www.decathlon.ca/fr/p/8804138/sac-de-couchage-enfant-mh100,https://contents.mediadecathlon.com/p2606514/k$39ab5900f1d8eb084fa5feb06fa85286/sac-de-couchage-enfant-mh100.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Kiprun,Casquette de course ultralégère,https://www.decathlon.ca/fr/p/8912559/casquette-de-course-ultralegere,https://contents.mediadecathlon.com/p2788245/k$bceebdee210cfe187cd6865560a6c958/casquette-de-course-ultralegere.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Wedze,"Tuque à pompon, Grand Nord FR 500",https://www.decathlon.ca/fr/p/8801103/tuque-de-ski-grand-nord-rose,https://contents.mediadecathlon.com/p2579150/k$9f8229c647d90709f96902489f900409/tuque-de-ski-grand-nord-rose.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Domyos,"Short à taille haute avec camo femme, FST 900",https://www.decathlon.ca/fr/p/8913375/short-a-taille-haute-avec-camo-femme-fst-900,https://contents.mediadecathlon.com/p2833866/k$b2ecf4d2661e904d6b5b0162ba223d50/short-a-taille-haute-avec-camo-femme-fst-900.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Quechua,Short de randonnée enfant - MH 500 bleu marine,https://www.decathlon.ca/fr/p/8569531/short-de-randonnee-enfant-mh500-bleu-marine,https://contents.mediadecathlon.com/p1760555/k$f9a755bcfd3b961cf2de1e09d57f51d6/short-de-randonnee-enfant-mh500-bleu-marine.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Caperlan,Tresse de pêche pour leurre à carnassier 4 brins – TX4 kaki,https://www.decathlon.ca/fr/p/8933473/tresse-de-peche-pour-leurre-a-carnassier-4brins-tx4-kaki,https://contents.mediadecathlon.com/p2862329/k$b67a5172d649fb0be7a2686f0eae9379/tresse-de-peche-pour-leurre-a-carnassier-4brins-tx4-kaki.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Van Rysel,JAMBIÈRES TEMPS FRAIS,https://www.decathlon.ca/fr/p/8517197/jambieres-temps-frais,https://contents.mediadecathlon.com/p2993358/k$b3df07b7790f9ed9826acca930652dc2/jambieres-temps-frais.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Kiprun,Casquette de course ultralégère,https://www.decathlon.ca/fr/p/8871360/casquette-de-course-ultralegere,https://contents.mediadecathlon.com/p2788231/k$bd2fec614bf8850bd05cceaf1df673b7/casquette-de-course-ultralegere.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Domyos,"Short à taille haute avec camo femme, FST 900",https://www.decathlon.ca/fr/p/8913374/short-a-taille-haute-avec-camo-femme-fst-900,https://contents.mediadecathlon.com/p2833860/k$6b437681461e748ebe1df956494e289f/short-a-taille-haute-avec-camo-femme-fst-900.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Domyos,Short de sport regular homme - bleu marine,https://www.decathlon.ca/fr/p/8873601/short-de-sport-regular-homme-bleu-marine,https://contents.mediadecathlon.com/p2864260/k$64830656d909295f8d9df92f7462ff91/short-de-sport-regular-homme-bleu-marine.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Btwin,Manche d'appoint de vélo,https://www.decathlon.ca/fr/p/8573301/manche-d-appoint-de-velo,https://contents.mediadecathlon.com/p2008590/k$9e32e2f42bb74ec68cb7857997d46190/manche-d-appoint-de-velo.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Oroks,"Bâton de hockey enfant, IH 140",https://www.decathlon.ca/fr/p/8401480/baton-de-hockey-ih-140-enfant,https://contents.mediadecathlon.com/p1240347/k$b48737afb3fc2015f2eeb39c9b724a7c/baton-de-hockey-ih-140-enfant.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Domyos,Short d’entraînement 2 en 1 femme – FST 520,https://www.decathlon.ca/fr/p/8841929/short2en1femme-520,https://contents.mediadecathlon.com/p2629270/k$6a0dc90ab99711cbbff727df5eb66ec4/short2en1femme-520.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Oxelo,4 Roues de Roller en Ligne 80 mm 86A,https://www.decathlon.ca/fr/p/8540203/4-roues-de-roller-en-ligne-80mm86a,https://contents.mediadecathlon.com/p1816585/k$d83e94065873db2fac29cd601d2e8eee/4-roues-de-roller-en-ligne-80mm86a.jpg?format=auto&f=3840x0,25.0,15.0,10.0,40.0
Kalenji,"Chandail de course à manches longues et demi-zip homme, Run 100",https://www.decathlon.ca/fr/p/8645563/t-shirt-de-course-a-pied-hommes,https://contents.mediadecathlon.com/p2607080/k$9129f669f6f58219875f7a36b2a12d23/t-shirt-de-course-a-pied-hommes.jpg?format=auto&f=3840x0,20.0,12.0,8.0,40.0
Decathlon,Repose chaîne de vélo,https://www.decathlon.ca/fr/p/8579369/repose-chaine-de-velo,https://www.decathlon.ca/images/product-image-placeholder.jpg?f=3840x0&format=auto,20.0,12.0,8.0,40.0
Olaian,Sandales de plage homme – 500,https://www.decathlon.ca/fr/p/8919280/sandales-de-plage-homme-500,https://contents.mediadecathlon.com/p2829937/k$1bd99e875edcdd1271ecabd1d76ff5be/sandales-de-plage-homme-500.jpg?format=auto&f=3840x0,20.0,12.0,8.0,40.0
Inesis,"Polo de golf en coton à manches courtes homme, MW 500",https://www.decathlon.ca/fr/p/8732675/polo-de-golf-homme-mw500-kaki,https://contents.mediadecathlon.com/p2738417/k$ea384bbbeef31dc282f0f15afe53b3f0/polo-de-golf-homme-mw500-kaki.jpg?format=auto&f=3840x0,20.0,12.0,8.0,40.0
Domyos,Collant de gymnastique artistique 500 – Femmes,https://www.decathlon.ca/fr/p/8561221/collant-de-gymnastique-artistique500-femmes,https://contents.mediadecathlon.com/p2412439/k$693906b421c219bbbe097441d7a10474/collant-de-gymnastique-artistique500-femmes.jpg?format=auto&f=3840x0,20.0,12.0,8.0,40.0
Olaian,Sandales de plage enfant – 500,https://www.decathlon.ca/fr/p/8920172/sandales-de-plage-enfant-500,https://contents.mediadecathlon.com/p2829930/k$0795e2e67808b73793b7265fd015353e/sandales-de-plage-enfant-500.jpg?format=auto&f=3840x0,15.0,9.0,6.0,40.0
Olaian,Sandales de plage enfant – 500,https://www.decathlon.ca/fr/p/8920170/sandales-de-plage-enfant-500,https://contents.mediadecathlon.com/p2829907/k$3ddb5e6691dd9c507ba205d1ad902635/sandales-de-plage-enfant-500.jpg?format=auto&f=3840x0,15.0,9.0,6.0,40.0
Solognac,Chasuble de chasse enfant - orange fluo,https://www.decathlon.ca/fr/p/8366307/dossard-de-chasse-enfants,https://contents.mediadecathlon.com/p2476927/k$8f1ca6382a0d2a79753c72588f865e93/dossard-de-chasse-enfants.jpg?format=auto&f=3840x0,10.0,6.0,4.0,40.0
Oxelo,Panier pour trottinette à trois roues BB 100,https://www.decathlon.ca/fr/p/8645465/panier-pour-trottinette-a-trois-roues-bb100,https://www.decathlon.ca/images/product-image-placeholder.jpg?f=3840x0&format=auto,10.0,6.0,4.0,40.0
Btwin,Serre-pantalon de vélo à ruban autoagrippant réflechissant,https://www.decathlon.ca/fr/p/8640618/serre-pantalon-de-velo540,https://contents.mediadecathlon.com/p2083083/k$50b24e0d626c2b7718ca7f7cc2b13926/serre-pantalon-de-velo540.jpg?format=auto&f=3840x0,10.0,6.0,4.0,40.0
Kipsta,Ballon de plage taille 3 – BV 100 Fun,https://www.decathlon.ca/fr/p/8818122/ballon-de-plage-taille3-bv100-fun,https://contents.mediadecathlon.com/p2637149/k$f20ac6c287a9a265fcb3ea0ce38b66e5/ballon-de-plage-taille3-bv100-fun.jpg?format=auto&f=3840x0,5.0,3.0,2.0,40.0
Caperlan,PLOMBS DE PÊCHE COULISSANT SW LAR SDR,https://www.decathlon.ca/fr/p/8559784/plombs-de-peche-coulissant-sw-lar-sdr,https://contents.mediadecathlon.com/p1828822/k$c41fbfcb3f06ce38a6ad06d3bd70d100/plombs-de-peche-coulissant-sw-lar-sdr.jpg?format=auto&f=3840x0,5.0,3.0,2.0,40.0
