brand,name,url,image,price_original,price_sale,saving_amount,saving_pct
Starever,Jupette de danse classique en voile rose – Filles,https://www.decathlon.ca/fr/p/8399594/jupette-de-danse-classique-en-voile-rose-filles,https://contents.mediadecathlon.com/p1701158/k$c210b206de9578d31eb385bcfdc44081/jupette-de-danse-classique-en-voile-rose-filles.jpg?format=auto&f=3840x0,10.0,4.0,6.0,60.0
Domyos,Chaussons de gymnastique artistique 500,https://www.decathlon.ca/fr/p/8382122/chaussons-de-gymnastique-artistique500,https://contents.mediadecathlon.com/p2163984/k$e8cb3f210962a982b9ebe63c75d4691d/chaussons-de-gymnastique-artistique500.jpg?format=auto&f=3840x0,14.7,6.0,8.7,59.18
Fouganza,Doudoune d'équitation sans manches enfant - 500 bleu,https://www.decathlon.ca/fr/p/8580035/veste-dequitation-500-enfants,https://contents.mediadecathlon.com/p2289282/k$a41a5a2b2d68da880c985404561c5063/veste-dequitation-500-enfants.jpg?format=auto&f=3840x0,35.0,15.0,20.0,57.14
Domyos,Haut court à manches longues femme - FTS Camo 900,https://www.decathlon.ca/fr/p/8872134/haut-court-a-manches-longues-femme-fts-camo-900,https://contents.mediadecathlon.com/p2731465/k$a43a523b7bbd9d2ff429a047069d4a53/haut-court-a-manches-longues-femme-fts-camo-900.jpg?format=auto&f=3840x0,35.0,15.0,20.0,57.14
Domyos,Haut court à manches longues femme - FTS Camo 900,https://www.decathlon.ca/fr/p/8885108/haut-court-a-manches-longues-femme-fts-camo-900,https://contents.mediadecathlon.com/p2731474/k$b509a299fedd4afd2e46bebadccbc42f/haut-court-a-manches-longues-femme-fts-camo-900.jpg?format=auto&f=3840x0,35.0,15.0,20.0,57.14
Kipsta,Chaussures de soccer à bande autoagrippante enfant – Viralto I Easy FG,https://www.decathlon.ca/fr/p/8844013/chaussures-de-soccer-enfant-viralto-i-easy,https://contents.mediadecathlon.com/p2585347/k$6b6940a155fc02356c0da30d608d0cf1/chaussures-de-soccer-enfant-viralto-i-easy.jpg?format=auto&f=3840x0,45.0,20.0,25.0,55.56
Kalenji,Boxeur de course respirant homme,https://www.decathlon.ca/fr/p/8573734/boxer-de-running-homme-respirant,https://contents.mediadecathlon.com/p2607274/k$405030576bd4609e683294defeeeaa75/boxer-de-running-homme-respirant.jpg?format=auto&f=3840x0,9.0,4.0,5.0,55.56
Kalenji,Boxeur de course respirant homme,https://www.decathlon.ca/fr/p/8677501/boxer-de-running-homme-respirant,https://contents.mediadecathlon.com/p2607004/k$d2003689370a6ce165a3c02bfd648bd9/boxer-de-running-homme-respirant.jpg?format=auto&f=3840x0,9.0,4.0,5.0,55.56
Kipsta,"Chaussures de soccer à bande autoaggripante enfant, Viralto I Easy TF",https://www.decathlon.ca/fr/p/8844071/chaussures-de-soccer-enfant-viralto-i-easy,https://contents.mediadecathlon.com/p2583366/k$7a80e32bc6c7b89d5d693098f7a27e0f/chaussures-de-soccer-enfant-viralto-i-easy.jpg?format=auto&f=3840x0,42.86,20.0,22.86,53.34
Wedze,Tuque de ski - Docker noir,https://www.decathlon.ca/fr/p/8810556/tuque-de-ski-docker-noir,https://contents.mediadecathlon.com/p2579062/k$8c351a3e1becb530d625cdea413a94d3/tuque-de-ski-docker-noir.jpg?format=auto&f=3840x0,15.0,7.0,8.0,53.33
Corength,"Barre d’haltérophilie de 20 kg, manchon de 50 mm de diamètre et prise de 28 mm",https://www.decathlon.ca/fr/p/8491834/barre-dhalterophilie-de-20kg-manchon-de-50mm-de-diametre-et-prise-de-28mm,https://contents.mediadecathlon.com/p1615301/k$beb4c358ecf26ef9d3ba20c53c1b6709/barre-dhalterophilie-de-20kg-manchon-de-50mm-de-diametre-et-prise-de-28mm.jpg?format=auto&f=3840x0,320.0,150.0,170.0,53.12
Olaian,Chapeau de surf taille M - 500 noir,https://www.decathlon.ca/fr/p/8927008/chapeau-de-surf-taille-m-500-noir,https://contents.mediadecathlon.com/p2959401/k$c890169e16d5bf1ddbac2356cafe4db4/chapeau-de-surf-taille-m-500-noir.jpg?format=auto&f=3840x0,25.0,12.0,13.0,52.0
Kalenji,"Veste de course à pied respirante femme, Dry",https://www.decathlon.ca/fr/p/8750017/manteau-de-course-femme-dry-noir,https://contents.mediadecathlon.com/p2306513/k$be9135d536848b347f2ff1c6f65b2b6a/manteau-de-course-femme-dry-noir.jpg?format=auto&f=3840x0,25.0,12.0,13.0,52.0
Domyos,Legging à taille haute femme – FTI 100,https://www.decathlon.ca/fr/p/8902664/legging-a-taille-haute-femme-fti-100,https://contents.mediadecathlon.com/p2731983/k$58c5b17c9c436ff11f61d97ef972afaa/legging-a-taille-haute-femme-fti-100.jpg?format=auto&f=3840x0,25.0,12.0,13.0,52.0
Quechua,Sac de couchage enfant 10°C – MH 100,https://www.decathlon.ca/fr/p/8513487/sac-de-couchage-enfant-10c-mh100-turquoise,https://contents.mediadecathlon.com/p1596419/k$571c068064b22710b9667a66da2d656c/sac-de-couchage-enfant-10c-mh100-turquoise.jpg?format=auto&f=3840x0,25.0,12.0,13.0,52.0
Oroks,Chandail hockey IH500 Hommes,https://www.decathlon.ca/fr/p/8549656/chandail-hockeyih500-hommes,https://contents.mediadecathlon.com/p1720942/k$f8f3a4ca015498428ec6b5a83b4c2030/chandail-hockeyih500-hommes.jpg?format=auto&f=3840x0,25.0,12.0,13.0,52.0
Inesis,Bois n°3 pour droitier à vitesse moyenne – 900,https://www.decathlon.ca/fr/p/8796807/bois-3-pour-droitier-vitesse-moyenne-900,https://contents.mediadecathlon.com/p2447530/k$61654ba661d6b5ff55b1be08c33ad2be/bois-3-pour-droitier-vitesse-moyenne-900.jpg?format=auto&f=3840x0,220.0,110.0,110.0,50.0
Inesis,Bois n°3 pour gaucher à vitesse moyenne – 900,https://www.decathlon.ca/fr/p/8796809/bois3-pour-droitier-vitessemoyenne-900,https://contents.mediadecathlon.com/p2447523/k$232f8c3d7f3ba9374733aef9623ca97c/bois3-pour-droitier-vitessemoyenne-900.jpg?format=auto&f=3840x0,220.0,110.0,110.0,50.0
Warrior,Gants de hockey enfant - Covert 500 noir,https://www.decathlon.ca/fr/p/8780900/gants-de-hockey-enfant-covert-500-noir,https://contents.mediadecathlon.com/p2360999/k$5df46b6768dfe187ea43c29da6cf7ee7/gants-de-hockey-enfant-covert-500-noir.jpg?format=auto&f=3840x0,110.0,55.0,55.0,50.0
Warrior,Gants de hockey enfant - Warrior Covert 500 bleu marine,https://www.decathlon.ca/fr/p/8780901/gants-de-hockey-enfant-warrior-covert-500-bleu-marine,https://contents.mediadecathlon.com/p2361000/k$027a7416b4e63a1374746c6c8e1654e3/gants-de-hockey-enfant-warrior-covert-500-bleu-marine.jpg?format=auto&f=3840x0,110.0,55.0,55.0,50.0
Fouganza,Mini-chaps d'équitation en cuir soufflet - noir,https://www.decathlon.ca/fr/p/8749603/guetres-dequitation-en-cuir-adultes,https://contents.mediadecathlon.com/p2160421/k$1a7df59b129979b23b8ada434899dcfc/guetres-dequitation-en-cuir-adultes.jpg?format=auto&f=3840x0,70.0,35.0,35.0,50.0
Kalenji,Chaussures de course à pied Jogflow 500.1 – Femmes,https://www.decathlon.ca/fr/p/8588973/chaussures-de-course-a-pied-jogflow5001-femmes,https://contents.mediadecathlon.com/p2153001/k$4e8a3bbe0b0b64a860ccaa5bea5b8616/chaussures-de-course-a-pied-jogflow5001-femmes.jpg?format=auto&f=3840x0,60.0,30.0,30.0,50.0
