name,url,image,sku,price_original,price_sale,saving_amount,saving_pct,qty,availability,availability_link
"Armoire garde-manger MYRO avec meuble micro-ondes, imitation marbre blanc et blanc",https://patrickmorin.com/fr/armoire-garde-manger-myro-avec-meuble-micro-ondes-imitation-marbre-blanc-et-blanc-2909003,https://patrickmorin.com/media/catalog/product/1/-/1-2909003-fr.jpg,2909003,449.99,337.49,112.5,25.0,3,Livraison disponible,https://patrickmorin.com/fr/armoire-garde-manger-myro-avec-meuble-micro-ondes-imitation-marbre-blanc-et-blanc-2909003?view-availability=1
Panneau de verre latéral 32 po,https://patrickmorin.com/fr/panneau-de-verre-lateral-32-po-0579047,https://patrickmorin.com/media/catalog/product/s/i/side-glass-panel-de-verre-lateral-32-po-1-0579047-fr.jpg,0579047,209.99,104.99,105.0,50.0,1,Livraison disponible,https://patrickmorin.com/fr/panneau-de-verre-lateral-32-po-0579047?view-availability=1
"Table carrée PASADENA, 36 po x 36 po",https://patrickmorin.com/fr/table-carree-pasadena-36-po-x-36-po-2814186,https://patrickmorin.com/media/catalog/product/1/-/1-2814186-fr.jpg,2814186,199.99,99.99,100.0,50.0,3,Livraison disponible,https://patrickmorin.com/fr/table-carree-pasadena-36-po-x-36-po-2814186?view-availability=1
"Chaise d'appoint MALTA, cognac",https://patrickmorin.com/fr/chaise-d-appoint-malta-cognac-2814140,https://patrickmorin.com/media/catalog/product/1/-/1-2814140-fr.jpg,2814140,199.99,99.99,100.0,50.0,19,Livraison disponible,https://patrickmorin.com/fr/chaise-d-appoint-malta-cognac-2814140?view-availability=1
"Wagon pliant THOMAS, 20 po x 20 po x 49 po",https://patrickmorin.com/fr/wagon-pliant-thomas-20-po-x-20-po-x-49-po-2814021,https://patrickmorin.com/media/catalog/product/t/h/thomas-folding-wagon-1-2814021-fr.jpg,2814021,179.99,89.99,90.0,50.0,3,Livraison disponible,https://patrickmorin.com/fr/wagon-pliant-thomas-20-po-x-20-po-x-49-po-2814021?view-availability=1
Siège de toilette allongé avec fonction bidet,https://patrickmorin.com/fr/siege-de-toilette-allonge-avec-fonction-bidet-2906571,https://patrickmorin.com/media/catalog/product/e/l/elongated-seat-with-bidet-function-1-2906571-fr.jpg,2906571,349.99,262.49,87.5,25.0,1,Livraison disponible,https://patrickmorin.com/fr/siege-de-toilette-allonge-avec-fonction-bidet-2906571?view-availability=1
"Glacière de patio à DEL avec haut-parleur VEGAS, 12 po X 18 po X 12 po",https://patrickmorin.com/fr/glaciere-de-patio-a-del-avec-haut-parleur-vegas-12-po-x-18-po-x-12-po-2814053,https://patrickmorin.com/media/catalog/product/v/e/vegas-led-solar-lantern-1-2814053-fr.jpg,2814053,169.99,84.99,85.0,50.0,2,Livraison disponible,https://patrickmorin.com/fr/glaciere-de-patio-a-del-avec-haut-parleur-vegas-12-po-x-18-po-x-12-po-2814053?view-availability=1
"Tente INSTA-TENT, 4 personnes, NORTH 49, 83 po x 94 po x 43 po",https://patrickmorin.com/fr/tente-insta-tent-4-personnes-north-49-83-po-x-94-po-x-43-po-0313759,https://patrickmorin.com/media/catalog/product/i/n/insta-tent-4-green-and-grey-1-0313759-fr.jpg,0313759,149.99,74.99,75.0,50.0,2,Livraison disponible,https://patrickmorin.com/fr/tente-insta-tent-4-personnes-north-49-83-po-x-94-po-x-43-po-0313759?view-availability=1
"Ensemble de 2 tabourets de comptoir BRANDY, blanc, 21,75 po X 41,25 po X 26,5 po",https://patrickmorin.com/fr/ensemble-de-2-tabourets-de-comptoir-brandy-blanc-21-75-po-x-41-25-po-x-26-5-po-2813977,https://patrickmorin.com/media/catalog/product/2/-/2-pieces-brandy-counter-stool-white-1-2813977-fr.jpg,2813977,149.99,74.99,75.0,50.0,4,Livraison disponible,https://patrickmorin.com/fr/ensemble-de-2-tabourets-de-comptoir-brandy-blanc-21-75-po-x-41-25-po-x-26-5-po-2813977?view-availability=1
"Ensemble de 2 tabourets de comptoir BRANDY, noir, 21,75 po X 41,25 po X 26,5 po",https://patrickmorin.com/fr/ensemble-de-2-tabourets-de-comptoir-brandy-noir-21-75-po-x-41-25-po-x-26-5-po-2813978,https://patrickmorin.com/media/catalog/product/2/-/2-pieces-brandy-couter-stool-black-1-2813978-fr.jpg,2813978,149.99,74.99,75.0,50.0,6,Livraison disponible,https://patrickmorin.com/fr/ensemble-de-2-tabourets-de-comptoir-brandy-noir-21-75-po-x-41-25-po-x-26-5-po-2813978?view-availability=1
"Cabinet de rangement 1 porte et 1 tablette, chêne et noir",https://patrickmorin.com/fr/cabinet-de-rangement-1-porte-et-1-tablette-chene-et-noir-2813973,https://patrickmorin.com/media/catalog/product/s/t/storage-cabinet-1-door-and-1-tablet-oak-and-black-1-2813973-fr.jpg,2813973,149.99,74.99,75.0,50.0,12,Livraison disponible,https://patrickmorin.com/fr/cabinet-de-rangement-1-porte-et-1-tablette-chene-et-noir-2813973?view-availability=1
Contrôleur de porte de garage intelligent Wifi,https://patrickmorin.com/fr/controleur-de-porte-de-garage-intelligent-wifi-0657747,https://patrickmorin.com/media/catalog/product/w/i/wifi-garage-door-controller-1-0657747-fr.jpg,0657747,89.99,22.5,67.49,75.0,3,Livraison disponible,https://patrickmorin.com/fr/controleur-de-porte-de-garage-intelligent-wifi-0657747?view-availability=1
